Types of Factories,2014,2015,2016
Food Products,20316,20500,21316
"Beverages, Tobacco",3214,3074,3134
Textiles products,141263,139803,140408
Wood products,10317,10356,10541
Paper & Paper products,29816,30050,29997
Leather,12872,12872,13054
"Rubber, Plastic, Petroleum",15365,15365,14952
Chemical products,11793,11633,11548
Non-metallic Mineral products,2426,2426,2426
Basic Metal & Alloy Industry,8614,8581,8373
Metal products,76427,75508,75215
"Electricity, Gas and Stream Water",5935,5935,6065
Wholesale Trade,657,855,650
Public Administration and Defence Services,7655,7655,7655
Sanitary Services,391,391,102
Repair Services,30502,31067,31431
Miscellaneous group,39364,39207,39966
