Characteristics,NO. Of Units,Fixed Capital,Working Capital,Physical working Capital,Invested Capital,Outstanding Loan,No Of Workers,Mandays Of Workers,No Of Employees,Mandays Of Employees,Total Person Engagged,Wages To Workers,Total Emoluments,Prov. Fund & Other Benifits,Workmen & Staff Welfare Exp.,Labour Cost,Fuel Consumed,Material Consumed,Total Inputs,Products & By- Products,Value Of Output,Gross Value Added,Depriciation,Net Value Added,Rent Paid,Interest Paid,Net Fixed Capital Formation,Gross Fixed Capital Formation,Gross Capital Formation,Gross Value Addition In Fixed Assets,Net Income,Profit
 All,1633,915197,669535,631864,1547061,517104,80587,23770444,26176,8264245,106763,106351,210796,11893,9049,231738,194224,2400542,3107518,3102331,3538019,430501,98546,331955,6946,90063,24317,122863,233045,230499,253168,21430
89,1,1822,157,862,2684,3403,290,87290,118,35518,408,321,644,42,7,693,246,132,686,1809,1931,1245,256,989,9,245,-392,-136,81,1370,737,44
103,3,690,226,101,791,336,38,13135,10,3450,48,25,49,3,0,52,16,207,242,438,441,199,54,145,0,14,-36,18,0,18,162,110
104,31,6272,10214,9620,15892,2809,452,118330,283,84635,735,635,1812,61,26,1899,1702,75106,133209,97513,148269,15060,863,14197,16,1026,1196,2059,2557,2512,13162,11263
105,19,17005,6862,22724,39729,1990,1546,457850,799,262089,2345,2697,7132,453,213,7798,9797,153571,188604,168689,200915,12311,2037,10274,96,1384,852,2889,9601,6074,10386,2588
106,26,85839,1188,1072,86911,62250,632,158000,375,117293,1007,632,1214,177,60,1451,907,51373,57054,53423,55515,-1539,1785,-3324,420,705,7112,8897,-3476,56450,-4052,-5503
107,31,8071,7734,7620,15691,9930,2871,654680,573,197685,3444,2660,3543,141,122,3806,3736,29281,40756,55487,60512,19756,1045,18711,118,1378,-57,988,1609,2250,17400,13594
108,8,1220,1962,1316,2536,2074,170,50935,87,26535,257,187,500,25,14,539,533,25121,31791,31655,39769,7978,169,7809,13,665,-804,-635,-812,338,7144,6605
110,20,118234,-49988,26677,144911,25549,1572,478240,570,173850,2142,2228,5828,202,256,6286,52295,133204,220993,243720,269071,48078,8887,39191,632,1404,6132,15019,17708,15366,37843,31557
120,4,337,793,517,854,691,106,32330,33,10065,139,71,149,11,1,161,69,2356,2487,2858,2868,381,48,333,26,62,-51,-3,108,46,250,89
131,27,7126,2073,1823,8949,9316,391,138805,120,41400,511,496,964,35,22,1021,2063,15371,19158,20232,21593,2435,1672,763,49,1246,-3235,-1563,-1663,548,7,-1014
139,46,35246,23474,28440,63686,21092,3108,940010,1279,434860,4387,3872,9954,375,389,10718,4284,62296,84886,92922,103755,18869,3735,15134,426,2600,4845,8580,11204,19544,12290,1572
141,108,29155,22867,24689,53844,14283,11623,3456300,1757,527100,13380,13030,19015,714,302,20031,1584,45954,72401,97864,105729,33328,2627,30701,1040,2440,1231,3858,7813,4528,28888,8857
151,1,109,103,168,277,212,4,1420,9,3105,13,4,25,0,0,25,25,674,720,795,795,75,21,54,0,32,5,26,62,21,23,-2
152,28,15143,3261,11427,26570,7487,2376,700920,593,192725,2969,2562,3882,107,115,4104,2265,54316,62741,73575,74489,11748,1457,10291,258,2240,1455,2912,4165,4594,8117,4013
161,14,572,2585,4705,5277,1076,45,9410,54,18630,99,36,133,2,0,135,152,9415,9868,10481,10630,762,58,704,55,202,104,162,2436,0,447,312
162,36,9846,2801,4094,13940,7581,1097,263115,293,101085,1390,1130,2036,158,88,2282,636,6165,10948,9498,13910,2962,785,2177,79,950,1466,2251,2563,2588,1427,-855
