StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Rajasthan,JAIPUR,AMBER,ACHROL,3454,3454,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,AKEDADOONGAR,1207,1207,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,AKHEPURA,1254,1254,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,BAGAWADA,1613,1613,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,BEELPUR,977,977,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,BILONCHI,2147,2147,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,CHANDWAJI,969,969,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,CHHAPRADI,867,867,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,CHITANU KALAN,1027,1027,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,DHAND,951,951,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,DOULATPURA,1530,1530,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,KANT,1594,1594,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,KANWARPURA,1518,1518,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,KHORA MEENA,1038,1038,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,KUKAS,1263,1263,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,LABANA,2281,2281,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,LAKHER,1730,1730,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,MANPUR MACHERI,2588,2588,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,NANGAL SUSAWATAN,1626,1626,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,RUNDAL,1859,1859,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,SHYAMPURA,1319,1319,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,AMBER,SIROHI,1216,1216,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,BASSI,ANATPURA,1399,1399,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,BASSI,BADWA,662,662,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,BASSI,BAGRANA,1472,1472,3/18/2019 12:00:00 AM
Rajasthan,JAIPUR,BASSI,BAINADA,1205,1205,3/18/2019 12:00:00 AM
