Months,Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
January,Indian,53108,48458,48019,82132,93398,94884,96684,97091,100426,114316,100188,102229,107341,112707,118342,166296,178001
January,Foreigner,9425,9457,17974,15185,36610,43514,50510,75947,26732,38853,35004,57264,60127,63133,66288,53442,69603
February,Indian,40396,37628,46736,79228,98908,115919,116089,118109,79149,93774,49798,61142,63854,67046,70397,142747,127443
February,Foreigner,26708,9797,12195,13154,30551,49525,52726,80012,28135,38799,44136,61889,64885,68128,71535,70358,81145
March,Indian,42921,34419,45330,45747,95122,126982,106850,108333,77251,92761,86194,80438,84460,88682,93115,155187,186202
March,Foreigner,20885,11660,8330,10397,37497,50820,36252,72990,29239,42847,42729,63779,66969,70318,73834,72808,77391
April,Indian,48124,31729,42807,45370,77005,80361,80709,81406,70702,101779,102337,61809,64900,68145,71552,81961,93845
April,Foreigner,22768,5528,3823,12254,32479,35311,35523,44186,15779,25420,26691,47273,49636,52118,54723,37353,49607
May,Indian,48685,34180,45259,57206,70729,71122,75910,55217,57831,58483,59440,59302,62267,95383,72652,76284,86138
May,Foreigner,22307,5490,3740,8921,21112,21369,24053,11442,14773,19410,20380,18762,19703,20689,21722,20706,23369
June,Indian,56910,40192,41684,44316,61040,66767,66945,54150,66962,71716,72580,62534,65661,68943,72390,78013,110584
June,Foreigner,6585,1980,4427,7298,15394,16202,17343,4700,13592,18052,21997,19922,20920,21965,23063,14062,17239
July,Indian,49955,33345,47711,60696,56716,59369,60251,63737,72394,75340,76460,79335,96878,101722,106807,73572,113615
July,Foreigner,10803,4254,6924,10035,19049,19500,20184,15487,14254,18735,22078,24346,31234,32795,34550,27246,28230
August,Indian,46542,46079,58154,64908,72437,73721,76471,67996,72356,79461,87883,85621,96013,100813,105853,117345,116569
August,Foreigner,18845,7684,8519,13217,24848,25304,25643,22491,21959,27411,26729,35593,37456,39328,41295,38142,40049
September,Indian,53218,54201,50334,85521,99035,105217,106694,75781,82584,73294,82805,87885,89203,150228,157739,154546,112137
September,Foreigner,10810,4946,6105,15455,32290,35604,39428,21338,19684,22225,28525,34266,35779,30107,31613,39354,39473
October,Indian,72948,80550,83679,108005,109811,115017,116612,110979,124412,121104,80802,84188,88397,92816,97457,150934,190932
October,Foreigner,7213,5598,8119,26328,37818,40359,41133,34358,33323,36397,47675,48769,51208,53767,56455,58168,65148
November,Indian,66859,66495,58119,140075,155034,166622,169882,141666,86070,120327,93179,116522,122349,94208,98917,150851,150150
November,Foreigner,12707,3488,7826,32032,42842,46172,46881,45838,41795,47051,63737,66761,70099,54573,57300,71451,75344
December,Indian,76049,82138,72298,154919,208765,202622,213975,164394,105859,131188,144219,117698,163582,129459,135931,196994,237049
December,Foreigner,3894,11569,17179,41996,56805,58230,75165,27376,24158,33312,37143,55632,58413,61313,64378,62888,67392
