State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female
8,110,78,0,0,0,RAJASTHAN,Jaipur,CD BLOCK,Kotputli,Total,164232,102974,61258,111135,42340,68795
8,110,78,0,0,0,RAJASTHAN,Jaipur,CD BLOCK,Kotputli,Rural,164232,102974,61258,111135,42340,68795
8,110,78,0,0,0,RAJASTHAN,Jaipur,CD BLOCK,Kotputli,Urban,0,0,0,0,0,0
8,110,78,79000,0,0,RAJASTHAN,Jaipur,VILLAGE,Deota,Rural,1960,1177,783,1082,421,661
8,110,78,79001,0,0,RAJASTHAN,Jaipur,VILLAGE,Banar,Rural,1490,966,524,1064,377,687
8,110,78,79002,0,0,RAJASTHAN,Jaipur,VILLAGE,Chhardara,Rural,1199,732,467,571,178,393
8,110,78,79003,0,0,RAJASTHAN,Jaipur,VILLAGE,Ramgarh,Rural,846,474,372,448,185,263
8,110,78,79004,0,0,RAJASTHAN,Jaipur,VILLAGE,Panera,Rural,930,545,385,397,172,225
8,110,78,79005,0,0,RAJASTHAN,Jaipur,VILLAGE,Ramnagar,Rural,647,399,248,474,178,296
8,110,78,79006,0,0,RAJASTHAN,Jaipur,VILLAGE,Baneti,Rural,3384,2082,1302,2054,765,1289
8,110,78,79007,0,0,RAJASTHAN,Jaipur,VILLAGE,Dhawali,Rural,635,403,232,420,149,271
8,110,78,79008,0,0,RAJASTHAN,Jaipur,VILLAGE,Hasanpura,Rural,322,193,129,196,75,121
8,110,78,79009,0,0,RAJASTHAN,Jaipur,VILLAGE,Raikaranpura,Rural,1667,1044,623,841,324,517
8,110,78,79010,0,0,RAJASTHAN,Jaipur,VILLAGE,Bakhrana,Rural,1118,691,427,680,248,432
8,110,78,79011,0,0,RAJASTHAN,Jaipur,VILLAGE,Amarpura,Rural,812,528,284,623,231,392
8,110,78,79012,0,0,RAJASTHAN,Jaipur,VILLAGE,Nangal Checheeka,Rural,1001,641,360,862,316,546
8,110,78,79013,0,0,RAJASTHAN,Jaipur,VILLAGE,Jaisinghpura,Rural,961,621,340,720,263,457
8,110,78,79014,0,0,RAJASTHAN,Jaipur,VILLAGE,Gopalpura,Rural,2157,1414,743,1433,515,918
8,110,78,79015,0,0,RAJASTHAN,Jaipur,VILLAGE,Karwas,Rural,1062,633,429,603,229,374
8,110,78,79016,0,0,RAJASTHAN,Jaipur,VILLAGE,Banka,Rural,1040,626,414,651,236,415
8,110,78,79017,0,0,RAJASTHAN,Jaipur,VILLAGE,Kaloohera,Rural,631,412,219,427,137,290
8,110,78,79018,0,0,RAJASTHAN,Jaipur,VILLAGE,Gonera,Rural,2059,1284,775,1567,640,927
8,110,78,79019,0,0,RAJASTHAN,Jaipur,VILLAGE,Keshwanagujar,Rural,216,156,60,209,79,130
8,110,78,79020,0,0,RAJASTHAN,Jaipur,VILLAGE,Keshwana Rajput,Rural,1171,733,438,704,274,430
8,110,78,79021,0,0,RAJASTHAN,Jaipur,VILLAGE,Malpura,Rural,1127,749,378,871,305,566
8,110,78,79022,0,0,RAJASTHAN,Jaipur,VILLAGE,Mordha,Rural,1408,903,505,1031,352,679
8,110,78,79023,0,0,RAJASTHAN,Jaipur,VILLAGE,Paniyala,Rural,2464,1610,854,2012,771,1241
8,110,78,79024,0,0,RAJASTHAN,Jaipur,VILLAGE,Kherki Mukkar,Rural,1183,739,444,786,291,495
8,110,78,79025,0,0,RAJASTHAN,Jaipur,VILLAGE,Beenjahera,Rural,586,355,231,325,136,189
8,110,78,79026,0,0,RAJASTHAN,Jaipur,VILLAGE,Sangtera,Rural,1976,1187,789,842,284,558
8,110,78,79027,0,0,RAJASTHAN,Jaipur,VILLAGE,Shekhupur,Rural,542,327,215,296,86,210
8,110,78,79028,0,0,RAJASTHAN,Jaipur,VILLAGE,Molahera,Rural,1825,1182,643,1429,527,902
8,110,78,79029,0,0,RAJASTHAN,Jaipur,VILLAGE,Kherki Veerbhan,Rural,1277,801,476,722,268,454
8,110,78,79030,0,0,RAJASTHAN,Jaipur,VILLAGE,Kharkhari,Rural,705,438,267,473,178,295
8,110,78,79031,0,0,RAJASTHAN,Jaipur,VILLAGE,Ramsinghpura,Rural,1365,883,482,800,274,526
8,110,78,79032,0,0,RAJASTHAN,Jaipur,VILLAGE,Ajeetpura Khurd,Rural,474,277,197,302,137,165
8,110,78,79033,0,0,RAJASTHAN,Jaipur,VILLAGE,Poorannagar,Rural,647,433,214,630,247,383
8,110,78,79034,0,0,RAJASTHAN,Jaipur,VILLAGE,Nareda,Rural,4872,3008,1864,2607,943,1664
