S.no,Year,M. Riksha ,Two Wheelers,Auto Riksha,Passenger Tempo,Goods Tempo,Cars,Jeeps,Tractors ,Trailers ,Texi car,Buses,Trucks ,Others ,Total  ,% Growth
1,2007,55,985760,16550,1330,10964,150217,38633,34605,2898,14119,19032,47618,2843,1324624,NA
2,2008,55,1035999,17204,1307,11909,163479,41392,33170,2861,14833,18873,43803,2972,1387857,4.77
3,2009,55,1144561,18550,1941,13361,185762,46316,39166,3028,17589,20714,55251,3443,1549737,11.66
4,2010,55,1248076,19740,2500,13733,208475,49668,41324,3028,20421,22143,62221,3918,1695302,9.39
5,2011,55,1374261,21060,3121,14116,235310,53496,44594,3034,23276,23294,70718,4641,1870976,10.36
6,2012,55,1495773,22391,3747,14445,257338,60179,48260,3034,26440,24225,77653,5025,2038565,8.96
7,2013,55,1628428,24531,4755,14756,285175,66295,51572,3050,28771,25304,83707,5662,2222060,9
8,2014,55,1662520,25700,5305,14237,306085,66958,46347,2911,29067,23742,76677,5428,2265032,1.93
9,2015,55,1773513,27448,6128,14611,333587,71618,48496,2911,31939,24338,83262,5742,2423648,7
10,2016,55,1882871,30078,7365,14944,362256,75869,50101,3050,36915,24980,88349,6273,2583106,6.58
