vehicle,2012,2013,2014,2015,2016
motorRikshaw,55,55,55,55,55
twoWheeler,1374261,1495773,1626490,1745280,1890228
autoRikshaw,21060,22391,24530,25852,27608
TampoGoods,14116,14445,14756,15128,15583
TampoVehicle,3121,3747,4754,5376,6203
Car,235310,257338,285067,311152,340802
Jeep,53496,60179,66053,73262,79537
Tractor,44594,48260,51419,55617,59538
Traveller,3034,3034,3050,3051,3084
Taxi,23276,26440,28752,31217,34348
Bus,23294,24225,25275,25958,26759
Truck,70718,77653,83499,91073,101298
others,4641,5025,5643,6113,6568
total,1870976,2038565,2219343,2389134,2591611
